,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
"filtered_prob[177, 1]",0.031,0.042,0.0,0.098,0.001,0.002,1861.0,1686.0,1.0
"filtered_prob[177, 2]",0.003,0.006,0.0,0.012,0.0,0.0,1180.0,1678.0,1.0
"filtered_prob[178, 0]",0.106,0.124,0.0,0.352,0.003,0.004,1234.0,1660.0,1.0
"filtered_prob[178, 1]",0.265,0.26,0.0,0.82,0.016,0.011,327.0,720.0,1.0
"filtered_prob[178, 2]",0.629,0.264,0.087,0.977,0.015,0.01,435.0,706.0,1.0
"filtered_prob[179, 0]",0.083,0.073,0.0,0.216,0.002,0.002,1258.0,1592.0,1.0
"filtered_prob[179, 1]",0.324,0.222,0.015,0.777,0.013,0.008,403.0,926.0,1.0
"filtered_prob[179, 2]",0.593,0.219,0.125,0.912,0.012,0.008,499.0,805.0,1.0
"filtered_prob[180, 0]",0.932,0.068,0.811,1.0,0.002,0.003,1938.0,1987.0,1.0
"filtered_prob[180, 1]",0.061,0.066,0.0,0.176,0.002,0.003,1912.0,2014.0,1.0
"filtered_prob[180, 2]",0.008,0.015,0.0,0.031,0.0,0.001,1010.0,1480.0,1.0
"filtered_prob[181, 0]",0.336,0.179,0.03,0.658,0.005,0.003,1407.0,1841.0,1.0
"filtered_prob[181, 1]",0.397,0.22,0.065,0.809,0.009,0.004,681.0,1552.0,1.0
"filtered_prob[181, 2]",0.266,0.195,0.0,0.604,0.007,0.002,783.0,1530.0,1.0
"filtered_prob[182, 0]",0.114,0.096,0.0,0.281,0.003,0.003,1300.0,1844.0,1.0
"filtered_prob[182, 1]",0.442,0.231,0.107,0.89,0.011,0.004,548.0,1370.0,1.0
"filtered_prob[182, 2]",0.444,0.224,0.0,0.744,0.01,0.004,589.0,1375.0,1.0
"filtered_prob[183, 0]",0.973,0.038,0.914,1.0,0.001,0.003,1819.0,1751.0,1.0
"filtered_prob[183, 1]",0.026,0.038,0.0,0.084,0.001,0.003,1668.0,1823.0,1.0
"filtered_prob[183, 2]",0.002,0.005,0.0,0.008,0.0,0.0,1027.0,1701.0,1.0
"filtered_prob[184, 0]",0.893,0.084,0.741,0.998,0.002,0.002,1922.0,2112.0,1.0
"filtered_prob[184, 1]",0.09,0.079,0.0,0.233,0.002,0.002,1880.0,2226.0,1.0
"filtered_prob[184, 2]",0.017,0.027,0.0,0.063,0.001,0.001,1436.0,1589.0,1.0
"filtered_prob[185, 0]",0.853,0.173,0.516,1.0,0.005,0.007,1463.0,1170.0,1.0
"filtered_prob[185, 1]",0.141,0.173,0.0,0.481,0.005,0.007,1194.0,1043.0,1.0
"filtered_prob[185, 2]",0.006,0.023,0.0,0.022,0.001,0.003,550.0,510.0,1.0
"filtered_prob[186, 0]",0.135,0.112,0.0,0.338,0.003,0.003,1318.0,1750.0,1.0
"filtered_prob[186, 1]",0.399,0.236,0.078,0.882,0.013,0.005,388.0,1157.0,1.0
"filtered_prob[186, 2]",0.466,0.233,0.0,0.777,0.011,0.005,573.0,1073.0,1.0
"filtered_prob[187, 0]",0.707,0.233,0.255,0.999,0.005,0.004,2444.0,2375.0,1.0
"filtered_prob[187, 1]",0.243,0.195,0.001,0.596,0.004,0.003,2255.0,2363.0,1.0
"filtered_prob[187, 2]",0.05,0.085,0.0,0.203,0.002,0.004,1874.0,1723.0,1.0
"filtered_prob[188, 0]",0.096,0.087,0.0,0.253,0.002,0.003,1265.0,1859.0,1.0
"filtered_prob[188, 1]",0.376,0.246,0.039,0.874,0.014,0.006,398.0,1148.0,1.0
"filtered_prob[188, 2]",0.528,0.24,0.043,0.863,0.012,0.006,499.0,948.0,1.0
"filtered_prob[189, 0]",0.064,0.065,0.0,0.182,0.002,0.002,1184.0,1671.0,1.0
"filtered_prob[189, 1]",0.324,0.216,0.0,0.741,0.012,0.006,372.0,986.0,1.0
"filtered_prob[189, 2]",0.611,0.211,0.169,0.94,0.011,0.007,442.0,731.0,1.0
"filtered_prob[190, 0]",0.112,0.086,0.0,0.267,0.002,0.003,1304.0,1393.0,1.0
"filtered_prob[190, 1]",0.41,0.202,0.09,0.815,0.008,0.003,655.0,1493.0,1.0
"filtered_prob[190, 2]",0.478,0.199,0.09,0.812,0.007,0.003,859.0,1497.0,1.0
"filtered_prob[191, 0]",0.062,0.058,0.0,0.167,0.002,0.002,1207.0,1481.0,1.0
"filtered_prob[191, 1]",0.34,0.201,0.012,0.719,0.009,0.004,552.0,1677.0,1.0
"filtered_prob[191, 2]",0.598,0.195,0.209,0.913,0.008,0.004,661.0,1329.0,1.0
"filtered_prob[192, 0]",0.05,0.05,0.0,0.139,0.001,0.002,1170.0,1781.0,1.0
"filtered_prob[192, 1]",0.287,0.199,0.0,0.645,0.009,0.004,551.0,1492.0,1.0
"filtered_prob[192, 2]",0.663,0.194,0.309,0.983,0.008,0.004,658.0,1386.0,1.0
"filtered_prob[193, 0]",0.772,0.147,0.501,0.989,0.004,0.003,1507.0,2176.0,1.0
"filtered_prob[193, 1]",0.188,0.133,0.003,0.42,0.003,0.003,1851.0,2042.0,1.0
"filtered_prob[193, 2]",0.04,0.063,0.0,0.149,0.003,0.005,697.0,716.0,1.0
"filtered_prob[194, 0]",0.221,0.148,0.002,0.491,0.004,0.003,1381.0,1707.0,1.0
"filtered_prob[194, 1]",0.453,0.207,0.128,0.851,0.008,0.003,659.0,1365.0,1.0
"filtered_prob[194, 2]",0.326,0.192,0.0,0.628,0.007,0.002,849.0,1445.0,1.0
"filtered_prob[195, 0]",0.121,0.096,0.001,0.288,0.003,0.003,1267.0,1650.0,1.0
"filtered_prob[195, 1]",0.49,0.208,0.126,0.867,0.008,0.003,723.0,1600.0,1.0
"filtered_prob[195, 2]",0.39,0.202,0.0,0.69,0.007,0.003,822.0,1431.0,1.0
"filtered_prob[196, 0]",0.052,0.052,0.0,0.146,0.001,0.002,1218.0,1666.0,1.0
"filtered_prob[196, 1]",0.357,0.217,0.0,0.755,0.011,0.004,473.0,1164.0,1.0
"filtered_prob[196, 2]",0.591,0.212,0.177,0.951,0.01,0.005,546.0,1017.0,1.0
"filtered_prob[197, 0]",0.971,0.043,0.912,1.0,0.001,0.003,1698.0,1393.0,1.0
"filtered_prob[197, 1]",0.026,0.043,0.0,0.084,0.001,0.003,1610.0,1658.0,1.0
"filtered_prob[197, 2]",0.003,0.008,0.0,0.01,0.0,0.001,721.0,653.0,1.0
"filtered_prob[198, 0]",0.2,0.143,0.001,0.458,0.004,0.003,1181.0,1741.0,1.0
"filtered_prob[198, 1]",0.37,0.255,0.017,0.836,0.012,0.006,526.0,1282.0,1.0
"filtered_prob[198, 2]",0.43,0.247,0.0,0.777,0.01,0.004,615.0,1097.0,1.0
"filtered_prob[199, 0]",0.328,0.173,0.026,0.633,0.005,0.003,1355.0,1860.0,1.0
"filtered_prob[199, 1]",0.472,0.198,0.124,0.838,0.006,0.003,992.0,1401.0,1.0
"filtered_prob[199, 2]",0.2,0.158,0.0,0.485,0.005,0.002,1083.0,1513.0,1.0
"filtered_prob[200, 0]",0.932,0.068,0.807,1.0,0.002,0.002,1707.0,1972.0,1.0
"filtered_prob[200, 1]",0.063,0.067,0.0,0.187,0.002,0.002,1541.0,1782.0,1.0
"filtered_prob[200, 2]",0.005,0.01,0.0,0.02,0.0,0.001,1245.0,1577.0,1.0
"filtered_prob[201, 0]",0.487,0.199,0.135,0.846,0.005,0.003,1347.0,1852.0,1.0
"filtered_prob[201, 1]",0.356,0.202,0.041,0.737,0.007,0.004,835.0,1400.0,1.0
"filtered_prob[201, 2]",0.157,0.146,0.0,0.434,0.004,0.003,990.0,1279.0,1.0
"filtered_prob[202, 0]",0.982,0.029,0.937,1.0,0.001,0.002,1767.0,1606.0,1.0
"filtered_prob[202, 1]",0.017,0.029,0.0,0.062,0.001,0.002,1700.0,1934.0,1.0
"filtered_prob[202, 2]",0.001,0.003,0.0,0.004,0.0,0.0,1254.0,1622.0,1.0
"filtered_prob[203, 0]",0.034,0.038,0.0,0.1,0.001,0.001,1155.0,1723.0,1.0
"filtered_prob[203, 1]",0.638,0.199,0.282,0.959,0.005,0.004,1797.0,1655.0,1.0
"filtered_prob[203, 2]",0.328,0.196,0.014,0.683,0.004,0.004,1925.0,1838.0,1.0
"filtered_prob[204, 0]",0.072,0.062,0.0,0.182,0.002,0.002,1214.0,1655.0,1.0
"filtered_prob[204, 1]",0.534,0.175,0.224,0.867,0.005,0.003,1425.0,1737.0,1.0
"filtered_prob[204, 2]",0.394,0.179,0.06,0.722,0.004,0.003,1523.0,1561.0,1.0
"filtered_prob[205, 0]",0.047,0.045,0.0,0.127,0.001,0.002,1178.0,1696.0,1.0
"filtered_prob[205, 1]",0.391,0.201,0.0,0.714,0.007,0.003,850.0,1510.0,1.0
"filtered_prob[205, 2]",0.562,0.199,0.186,0.912,0.006,0.003,949.0,1264.0,1.0
"filtered_prob[206, 0]",0.556,0.201,0.18,0.912,0.007,0.004,925.0,998.0,1.0
"filtered_prob[206, 1]",0.358,0.172,0.047,0.67,0.005,0.003,1244.0,1736.0,1.0
"filtered_prob[206, 2]",0.086,0.105,0.0,0.276,0.005,0.006,761.0,695.0,1.0
"filtered_prob[207, 0]",0.084,0.106,0.0,0.278,0.003,0.004,1187.0,1737.0,1.0
"filtered_prob[207, 1]",0.353,0.245,0.0,0.773,0.008,0.003,755.0,1205.0,1.0
"filtered_prob[207, 2]",0.563,0.239,0.151,0.971,0.008,0.003,963.0,1474.0,1.0
"filtered_prob[208, 0]",0.238,0.176,0.001,0.562,0.006,0.004,902.0,1419.0,1.0
"filtered_prob[208, 1]",0.486,0.188,0.144,0.832,0.005,0.003,1397.0,1508.0,1.0
"filtered_prob[208, 2]",0.276,0.176,0.0,0.579,0.004,0.003,1651.0,1613.0,1.0
"filtered_prob[209, 0]",0.418,0.216,0.035,0.803,0.006,0.003,1082.0,1401.0,1.0
"filtered_prob[209, 1]",0.468,0.202,0.075,0.816,0.006,0.003,1176.0,1586.0,1.0
"filtered_prob[209, 2]",0.113,0.124,0.0,0.352,0.004,0.005,1121.0,1078.0,1.0
"filtered_prob[210, 0]",0.597,0.224,0.225,0.99,0.006,0.003,1212.0,1587.0,1.0
"filtered_prob[210, 1]",0.349,0.209,0.008,0.704,0.006,0.003,1283.0,1709.0,1.0
"filtered_prob[210, 2]",0.054,0.083,0.0,0.199,0.003,0.005,1060.0,893.0,1.0
"filtered_prob[211, 0]",0.156,0.111,0.002,0.348,0.003,0.002,1204.0,1536.0,1.0
"filtered_prob[211, 1]",0.447,0.198,0.106,0.811,0.008,0.003,627.0,1062.0,1.0
"filtered_prob[211, 2]",0.397,0.172,0.04,0.664,0.007,0.004,722.0,863.0,1.0
"filtered_prob[212, 0]",0.31,0.193,0.012,0.663,0.006,0.003,1106.0,1635.0,1.0
"filtered_prob[212, 1]",0.52,0.192,0.157,0.866,0.006,0.003,1194.0,1310.0,1.0
"filtered_prob[212, 2]",0.17,0.136,0.0,0.417,0.003,0.003,1429.0,1588.0,1.0
"filtered_prob[213, 0]",0.151,0.101,0.002,0.327,0.003,0.002,1198.0,1601.0,1.0
"filtered_prob[213, 1]",0.49,0.178,0.181,0.834,0.006,0.002,874.0,1356.0,1.0
"filtered_prob[213, 2]",0.359,0.155,0.043,0.606,0.005,0.003,1005.0,1223.0,1.0
"filtered_prob[214, 0]",0.255,0.173,0.005,0.579,0.005,0.004,1104.0,1644.0,1.0
"filtered_prob[214, 1]",0.553,0.187,0.206,0.889,0.005,0.003,1262.0,1393.0,1.0
"filtered_prob[214, 2]",0.192,0.147,0.0,0.459,0.004,0.003,1472.0,1438.0,1.0
"filtered_prob[215, 0]",0.085,0.079,0.0,0.221,0.002,0.003,1177.0,1711.0,1.0
"filtered_prob[215, 1]",0.504,0.203,0.163,0.886,0.007,0.003,908.0,1508.0,1.0
"filtered_prob[215, 2]",0.411,0.2,0.024,0.727,0.006,0.003,1013.0,1102.0,1.0
"filtered_prob[216, 0]",0.163,0.12,0.003,0.375,0.004,0.003,1039.0,1493.0,1.0
"filtered_prob[216, 1]",0.556,0.188,0.198,0.886,0.005,0.002,1516.0,1643.0,1.0
"filtered_prob[216, 2]",0.281,0.181,0.0,0.588,0.004,0.002,1516.0,1339.0,1.0
"filtered_prob[217, 0]",0.057,0.055,0.0,0.153,0.002,0.002,1183.0,1752.0,1.0
"filtered_prob[217, 1]",0.43,0.214,0.065,0.828,0.008,0.003,804.0,1608.0,1.0
"filtered_prob[217, 2]",0.513,0.212,0.074,0.844,0.007,0.004,891.0,1050.0,1.0
"filtered_prob[218, 0]",0.502,0.205,0.156,0.909,0.006,0.003,1012.0,1344.0,1.0
"filtered_prob[218, 1]",0.402,0.187,0.064,0.74,0.005,0.003,1201.0,1584.0,1.0
"filtered_prob[218, 2]",0.096,0.114,0.0,0.312,0.004,0.005,1105.0,1231.0,1.0
"filtered_prob[219, 0]",0.086,0.078,0.0,0.226,0.002,0.002,1169.0,1633.0,1.0
"filtered_prob[219, 1]",0.417,0.209,0.106,0.843,0.009,0.003,610.0,1391.0,1.0
"filtered_prob[219, 2]",0.497,0.199,0.093,0.818,0.008,0.004,706.0,891.0,1.0
"filtered_prob[220, 0]",0.23,0.158,0.003,0.517,0.005,0.003,1055.0,1659.0,1.0
"filtered_prob[220, 1]",0.52,0.184,0.189,0.865,0.005,0.002,1367.0,1594.0,1.0
"filtered_prob[220, 2]",0.25,0.167,0.0,0.533,0.004,0.003,1540.0,1362.0,1.0
"filtered_prob[221, 0]",0.064,0.061,0.0,0.17,0.002,0.002,1175.0,1646.0,1.0
"filtered_prob[221, 1]",0.428,0.214,0.088,0.849,0.008,0.003,717.0,1151.0,1.0
"filtered_prob[221, 2]",0.507,0.212,0.054,0.823,0.008,0.004,802.0,1042.0,1.0
"filtered_prob[222, 0]",0.616,0.191,0.274,0.959,0.006,0.003,1095.0,1463.0,1.0
"filtered_prob[222, 1]",0.321,0.175,0.008,0.629,0.005,0.003,1266.0,1775.0,1.0
"filtered_prob[222, 2]",0.063,0.089,0.0,0.22,0.004,0.006,938.0,786.0,1.0
"filtered_prob[223, 0]",0.074,0.083,0.0,0.226,0.002,0.003,1211.0,1686.0,1.0
"filtered_prob[223, 1]",0.351,0.23,0.0,0.764,0.01,0.004,496.0,1041.0,1.0
"filtered_prob[223, 2]",0.575,0.225,0.13,0.929,0.009,0.005,610.0,977.0,1.0
"filtered_prob[224, 0]",0.119,0.085,0.002,0.275,0.003,0.002,1003.0,1140.0,1.0
"filtered_prob[224, 1]",0.392,0.183,0.08,0.722,0.007,0.003,711.0,1466.0,1.0
"filtered_prob[224, 2]",0.49,0.166,0.143,0.766,0.006,0.004,987.0,813.0,1.0
"filtered_prob[225, 0]",0.125,0.1,0.0,0.304,0.003,0.002,993.0,1631.0,1.0
"filtered_prob[225, 1]",0.463,0.19,0.129,0.823,0.006,0.003,1034.0,1459.0,1.0
"filtered_prob[225, 2]",0.412,0.191,0.043,0.731,0.005,0.003,1400.0,1315.0,1.0
"filtered_prob[226, 0]",0.058,0.053,0.0,0.153,0.002,0.002,1141.0,1726.0,1.0
"filtered_prob[226, 1]",0.378,0.208,0.038,0.778,0.008,0.004,736.0,1480.0,1.0
"filtered_prob[226, 2]",0.563,0.205,0.146,0.896,0.007,0.004,866.0,1135.0,1.0
"filtered_prob[227, 0]",0.83,0.131,0.594,1.0,0.004,0.004,1071.0,1554.0,1.0
"filtered_prob[227, 1]",0.144,0.116,0.0,0.353,0.003,0.003,1340.0,1901.0,1.0
"filtered_prob[227, 2]",0.025,0.055,0.0,0.098,0.003,0.006,698.0,584.0,1.0
"filtered_prob[228, 0]",0.611,0.234,0.207,0.992,0.006,0.004,1397.0,1562.0,1.0
"filtered_prob[228, 1]",0.368,0.234,0.001,0.77,0.007,0.004,1132.0,1482.0,1.0
"filtered_prob[228, 2]",0.021,0.053,0.0,0.095,0.003,0.005,510.0,501.0,1.0
"filtered_prob[229, 0]",0.11,0.093,0.0,0.284,0.002,0.002,1293.0,1611.0,1.0
"filtered_prob[229, 1]",0.487,0.196,0.162,0.871,0.009,0.003,483.0,1257.0,1.0
"filtered_prob[229, 2]",0.403,0.193,0.0,0.681,0.008,0.003,651.0,1108.0,1.0
"filtered_prob[230, 0]",0.056,0.051,0.0,0.15,0.001,0.002,1196.0,1677.0,1.0
"filtered_prob[230, 1]",0.387,0.212,0.0,0.769,0.011,0.004,412.0,1100.0,1.0
"filtered_prob[230, 2]",0.557,0.21,0.103,0.885,0.01,0.005,494.0,940.0,1.0
"filtered_prob[231, 0]",0.194,0.124,0.0,0.41,0.004,0.002,995.0,1512.0,1.0
"filtered_prob[231, 1]",0.509,0.174,0.188,0.827,0.005,0.002,1159.0,1568.0,1.0
"filtered_prob[231, 2]",0.297,0.168,0.0,0.568,0.004,0.002,1460.0,1469.0,1.0
"filtered_prob[232, 0]",0.053,0.051,0.0,0.144,0.001,0.002,1203.0,1683.0,1.0
"filtered_prob[232, 1]",0.383,0.213,0.0,0.763,0.01,0.004,521.0,1160.0,1.0
"filtered_prob[232, 2]",0.564,0.21,0.141,0.918,0.009,0.004,629.0,1009.0,1.0
"filtered_prob[233, 0]",0.052,0.048,0.0,0.138,0.001,0.001,1153.0,1658.0,1.0
"filtered_prob[233, 1]",0.326,0.209,0.0,0.714,0.01,0.004,512.0,1222.0,1.0
"filtered_prob[233, 2]",0.622,0.205,0.222,0.957,0.009,0.005,654.0,1119.0,1.0
"filtered_prob[234, 0]",0.082,0.066,0.0,0.194,0.002,0.002,1020.0,1495.0,1.0
"filtered_prob[234, 1]",0.372,0.201,0.026,0.743,0.007,0.004,760.0,1359.0,1.0
"filtered_prob[234, 2]",0.546,0.198,0.134,0.865,0.006,0.004,1042.0,1136.0,1.0
"filtered_prob[235, 0]",0.069,0.057,0.0,0.169,0.002,0.002,1145.0,1639.0,1.0
"filtered_prob[235, 1]",0.364,0.206,0.03,0.763,0.008,0.004,745.0,1432.0,1.0
"filtered_prob[235, 2]",0.567,0.205,0.148,0.899,0.007,0.004,959.0,1087.0,1.0
"filtered_prob[236, 0]",0.362,0.17,0.06,0.674,0.005,0.003,1121.0,1617.0,1.0
"filtered_prob[236, 1]",0.464,0.175,0.147,0.792,0.004,0.003,1513.0,1859.0,1.0
"filtered_prob[236, 2]",0.174,0.142,0.0,0.426,0.004,0.003,1355.0,1504.0,1.0
"filtered_prob[237, 0]",0.113,0.089,0.0,0.276,0.002,0.002,1233.0,1765.0,1.0
"filtered_prob[237, 1]",0.508,0.196,0.187,0.893,0.006,0.003,1004.0,1416.0,1.0
"filtered_prob[237, 2]",0.379,0.192,0.0,0.668,0.006,0.003,1165.0,1241.0,1.0
"filtered_prob[238, 0]",0.086,0.07,0.0,0.209,0.002,0.002,1158.0,1753.0,1.0
"filtered_prob[238, 1]",0.476,0.207,0.146,0.887,0.007,0.003,963.0,1527.0,1.0
"filtered_prob[238, 2]",0.437,0.205,0.032,0.766,0.006,0.003,1090.0,1216.0,1.0
"filtered_prob[239, 0]",0.408,0.178,0.061,0.719,0.005,0.003,1177.0,1630.0,1.0
"filtered_prob[239, 1]",0.473,0.179,0.132,0.793,0.005,0.003,1245.0,1593.0,1.0
"filtered_prob[239, 2]",0.118,0.12,0.0,0.343,0.004,0.004,1246.0,1401.0,1.0
"filtered_prob[240, 0]",0.141,0.093,0.001,0.313,0.003,0.002,1252.0,1697.0,1.0
"filtered_prob[240, 1]",0.484,0.176,0.164,0.806,0.006,0.002,893.0,1372.0,1.0
"filtered_prob[240, 2]",0.374,0.161,0.066,0.65,0.005,0.003,977.0,1067.0,1.0
"filtered_prob[241, 0]",0.051,0.056,0.0,0.151,0.002,0.002,1195.0,1781.0,1.0
"filtered_prob[241, 1]",0.349,0.218,0.0,0.737,0.009,0.004,536.0,1202.0,1.0
"filtered_prob[241, 2]",0.6,0.213,0.208,0.969,0.009,0.004,629.0,1123.0,1.0
"filtered_prob[242, 0]",0.439,0.191,0.083,0.78,0.006,0.003,1077.0,1578.0,1.0
"filtered_prob[242, 1]",0.429,0.181,0.1,0.765,0.005,0.003,1433.0,1698.0,1.0
"filtered_prob[242, 2]",0.132,0.125,0.0,0.363,0.004,0.004,1227.0,1226.0,1.0
"filtered_prob[243, 0]",0.614,0.194,0.265,0.958,0.005,0.003,1384.0,1929.0,1.0
"filtered_prob[243, 1]",0.332,0.184,0.008,0.655,0.005,0.003,1363.0,1769.0,1.0
"filtered_prob[243, 2]",0.054,0.076,0.0,0.189,0.003,0.005,1145.0,1093.0,1.0
"filtered_prob[244, 0]",0.075,0.086,0.0,0.234,0.002,0.003,1231.0,1766.0,1.0
"filtered_prob[244, 1]",0.353,0.235,0.0,0.776,0.012,0.004,400.0,923.0,1.0
"filtered_prob[244, 2]",0.572,0.228,0.126,0.935,0.011,0.005,506.0,890.0,1.0
"filtered_prob[245, 0]",0.16,0.117,0.0,0.371,0.004,0.002,1028.0,1591.0,1.0
"filtered_prob[245, 1]",0.476,0.19,0.122,0.814,0.006,0.003,918.0,1378.0,1.0
"filtered_prob[245, 2]",0.364,0.182,0.0,0.647,0.005,0.003,1263.0,1354.0,1.0
"filtered_prob[246, 0]",0.246,0.146,0.004,0.501,0.004,0.003,1152.0,1690.0,1.0
"filtered_prob[246, 1]",0.545,0.179,0.234,0.893,0.005,0.002,1430.0,1571.0,1.0
"filtered_prob[246, 2]",0.209,0.154,0.0,0.475,0.004,0.002,1477.0,1437.0,1.0
"filtered_prob[247, 0]",0.948,0.061,0.838,1.0,0.001,0.002,1595.0,1924.0,1.0
"filtered_prob[247, 1]",0.049,0.061,0.0,0.157,0.001,0.003,1410.0,2139.0,1.0
"filtered_prob[247, 2]",0.004,0.011,0.0,0.013,0.0,0.001,860.0,797.0,1.0
"filtered_prob[248, 0]",0.591,0.198,0.225,0.932,0.006,0.003,961.0,1490.0,1.0
"filtered_prob[248, 1]",0.3,0.184,0.017,0.647,0.006,0.004,852.0,1378.0,1.0
"filtered_prob[248, 2]",0.109,0.117,0.0,0.333,0.003,0.003,1243.0,1379.0,1.0
"filtered_prob[249, 0]",0.511,0.212,0.122,0.891,0.006,0.003,1171.0,1790.0,1.0
"filtered_prob[249, 1]",0.386,0.201,0.038,0.748,0.006,0.003,1138.0,1435.0,1.0
"filtered_prob[249, 2]",0.104,0.107,0.0,0.308,0.003,0.003,1298.0,1425.0,1.0
"filtered_prob[250, 0]",0.068,0.071,0.0,0.198,0.002,0.002,1228.0,1803.0,1.0
"filtered_prob[250, 1]",0.358,0.242,0.0,0.812,0.014,0.006,349.0,961.0,1.01
"filtered_prob[250, 2]",0.574,0.235,0.098,0.931,0.013,0.007,412.0,785.0,1.0
"filtered_prob[251, 0]",0.855,0.113,0.644,0.998,0.003,0.003,1399.0,2156.0,1.0
"filtered_prob[251, 1]",0.128,0.108,0.001,0.327,0.003,0.003,1531.0,2093.0,1.0
"filtered_prob[251, 2]",0.017,0.029,0.0,0.061,0.001,0.002,1106.0,1509.0,1.0
"filtered_prob[252, 0]",0.117,0.099,0.0,0.307,0.003,0.003,1231.0,1686.0,1.0
"filtered_prob[252, 1]",0.344,0.239,0.025,0.827,0.014,0.008,360.0,660.0,1.0
"filtered_prob[252, 2]",0.539,0.231,0.05,0.85,0.012,0.008,492.0,706.0,1.0
"filtered_prob[253, 0]",0.18,0.119,0.0,0.399,0.004,0.002,1097.0,1723.0,1.0
"filtered_prob[253, 1]",0.471,0.2,0.126,0.841,0.008,0.003,725.0,1424.0,1.0
"filtered_prob[253, 2]",0.349,0.187,0.0,0.634,0.006,0.002,906.0,1317.0,1.0
"filtered_prob[254, 0]",0.077,0.064,0.0,0.186,0.002,0.002,1207.0,1715.0,1.0
"filtered_prob[254, 1]",0.431,0.216,0.117,0.877,0.009,0.004,599.0,1487.0,1.0
"filtered_prob[254, 2]",0.492,0.212,0.077,0.835,0.009,0.004,666.0,1140.0,1.0
"filtered_prob[255, 0]",0.972,0.041,0.911,1.0,0.001,0.004,1702.0,1854.0,1.0
"filtered_prob[255, 1]",0.026,0.041,0.0,0.085,0.001,0.004,1566.0,1676.0,1.0
"filtered_prob[255, 2]",0.002,0.005,0.0,0.008,0.0,0.0,827.0,1253.0,1.0
"filtered_prob[256, 0]",0.289,0.166,0.024,0.602,0.005,0.003,1019.0,1664.0,1.0
"filtered_prob[256, 1]",0.387,0.239,0.047,0.832,0.011,0.004,590.0,1358.0,1.0
"filtered_prob[256, 2]",0.324,0.217,0.0,0.668,0.008,0.003,737.0,1254.0,1.0
"filtered_prob[257, 0]",0.073,0.077,0.0,0.212,0.002,0.003,1185.0,1534.0,1.0
"filtered_prob[257, 1]",0.337,0.233,0.0,0.786,0.013,0.007,365.0,899.0,1.0
"filtered_prob[257, 2]",0.59,0.227,0.119,0.924,0.013,0.007,426.0,680.0,1.0
"filtered_prob[258, 0]",0.155,0.105,0.001,0.348,0.003,0.002,1087.0,1703.0,1.0
"filtered_prob[258, 1]",0.457,0.201,0.119,0.83,0.008,0.003,744.0,1474.0,1.0
"filtered_prob[258, 2]",0.389,0.192,0.0,0.671,0.006,0.003,940.0,1385.0,1.0
"filtered_prob[259, 0]",0.656,0.166,0.336,0.937,0.004,0.003,1403.0,1626.0,1.0
"filtered_prob[259, 1]",0.295,0.16,0.025,0.589,0.004,0.003,1409.0,1740.0,1.0
"filtered_prob[259, 2]",0.049,0.062,0.0,0.165,0.002,0.003,1251.0,1458.0,1.0
"filtered_prob[260, 0]",0.282,0.164,0.01,0.576,0.005,0.002,1250.0,1797.0,1.0
"filtered_prob[260, 1]",0.503,0.193,0.147,0.844,0.006,0.003,999.0,1274.0,1.0
"filtered_prob[260, 2]",0.215,0.154,0.0,0.483,0.004,0.002,1058.0,1485.0,1.0
"filtered_prob[261, 0]",0.067,0.07,0.0,0.198,0.002,0.002,1226.0,1725.0,1.0
"filtered_prob[261, 1]",0.398,0.221,0.048,0.823,0.011,0.004,442.0,1035.0,1.0
"filtered_prob[261, 2]",0.535,0.214,0.115,0.889,0.01,0.005,518.0,912.0,1.0
"filtered_prob[262, 0]",0.986,0.03,0.951,1.0,0.001,0.003,1736.0,1592.0,1.0
"filtered_prob[262, 1]",0.013,0.03,0.0,0.047,0.001,0.003,1618.0,1777.0,1.0
"filtered_prob[262, 2]",0.001,0.004,0.0,0.003,0.0,0.001,810.0,812.0,1.0
"filtered_prob[263, 0]",0.086,0.09,0.0,0.256,0.003,0.003,1233.0,1741.0,1.0
"filtered_prob[263, 1]",0.265,0.268,0.0,0.854,0.017,0.013,340.0,563.0,1.0
"filtered_prob[263, 2]",0.649,0.269,0.061,0.959,0.016,0.013,453.0,612.0,1.0
"filtered_prob[264, 0]",0.979,0.034,0.932,1.0,0.001,0.003,1716.0,1484.0,1.0
"filtered_prob[264, 1]",0.019,0.033,0.0,0.065,0.001,0.003,1748.0,1546.0,1.0
"filtered_prob[264, 2]",0.002,0.004,0.0,0.007,0.0,0.0,1083.0,1693.0,1.0
"filtered_prob[265, 0]",0.298,0.173,0.009,0.615,0.005,0.003,1013.0,1796.0,1.0
"filtered_prob[265, 1]",0.38,0.241,0.04,0.826,0.011,0.004,597.0,1514.0,1.0
"filtered_prob[265, 2]",0.322,0.219,0.0,0.672,0.008,0.003,748.0,1261.0,1.0
"filtered_prob[266, 0]",0.171,0.121,0.0,0.388,0.003,0.003,1203.0,1743.0,1.0
"filtered_prob[266, 1]",0.479,0.223,0.124,0.891,0.009,0.003,709.0,1494.0,1.0
"filtered_prob[266, 2]",0.351,0.206,0.0,0.661,0.007,0.003,771.0,1345.0,1.0
"filtered_prob[267, 0]",0.292,0.155,0.032,0.578,0.004,0.002,1251.0,1656.0,1.0
